State_name,unemp,OZdes_umemp,OZ_eligible,lf_pr,lf_pr_OZdes,lf_pr_OZeligible
Alabama,0.095460121960851,0.1286106053987342,0.11132032297005975,0.5673127310680267,0.5242243303544303,0.5441981178994012
Alaska,0.08551659529156629,0.12837471856,0.11580280764179109,0.6918080472891566,0.6681762452,0.6658841243283584
Arizona,0.08546124146278544,0.11384934732904195,0.10768557779280795,0.5934561098490134,0.5768085007142856,0.5746575738511495
Arkansas,0.0771470579521168,0.10460118685882355,0.08715030397000004,0.5745118274029192,0.5468983312941175,0.5552832491365391
California,0.08947047767555044,0.13383829040546688,0.10860390555051835,0.6321498479987131,0.6041811420660594,0.6198265648182015
Colorado,0.061636619376046954,0.08614000912698412,0.07486054887544899,0.6749144518276966,0.6219359176984127,0.6559737665905635
Connecticut,0.0847701644417171,0.14694314884722223,0.12119172811453491,0.6682101328707732,0.6437746584722223,0.662721634767442
Delaware,0.0731568400728972,0.10258154099999997,0.08522174814406777,0.6192706547663553,0.6125852796000002,0.6245806380508474
District of Columbia,0.10523861776424581,0.19271161612,0.13917291687327593,0.6894096393240227,0.5617717663599999,0.6337681915431034
Florida,0.08647582535182445,0.16693140986619706,0.10495648162500007,0.579099592811796,0.5438516692065722,0.5723853584545451
Georgia,0.09177030598008186,0.1505021001499998,0.10676469900246646,0.6178004172443768,0.5442528706538463,0.596221119940254
Hawaii,0.0519011991901587,0.07414973644,0.06803907782575758,0.6499504267721511,0.6034384932000001,0.6381153460606059
Idaho,0.0643891906097643,0.07652728942857143,0.07167260174010415,0.6135345661744966,0.5840638317857142,0.6113896561979166
Illinois,0.09338171730070619,0.20372933949541272,0.12388264086483744,0.6483040157298455,0.578810774434251,0.6196842898215924
Indiana,0.0784179536046511,0.10954111302564097,0.1003149514553244,0.6313251924208498,0.5987513418589742,0.6113912798898401
Iowa,0.04809316872837181,0.07406029260967743,0.06124101546682928,0.6674022670352365,0.6304555174193546,0.6538482302195119
Kansas,0.05686768508774705,0.07761030554324326,0.07004687706071429,0.6597801252700926,0.620754465,0.6425361080000002
Kentucky,0.08291204891209374,0.11535741086111116,0.097388319463151,0.5856837391352567,0.5135053803541667,0.5526940181914067
Louisiana,0.08564876461785077,0.12202938337333329,0.09940361244343943,0.5960468281277732,0.5509653818000001,0.57521904933758
Maine,0.06420731268851543,0.0843698577875,0.07518757937818178,0.6218406513725491,0.5717251996875,0.5993251242727271
Maryland,0.07257364778368232,0.10741650144295305,0.09265344379285723,0.6775577896399565,0.6381258981879195,0.6641511337599724
Massachusetts,0.07167034521209248,0.11221211355289856,0.09355442737385532,0.6706217554477607,0.6235945931884057,0.6536538534121116
Michigan,0.0998256940546779,0.14723680878571424,0.13258678081173775,0.6014341270446956,0.5697102325783966,0.5726190856268845
Minnesota,0.0510889141277778,0.08159125791406255,0.061604702093279604,0.6897248782308849,0.6377109308593755,0.6666233429032256
Mississippi,0.10752295623455099,0.12500201781999998,0.11838376400485984,0.5694319441656531,0.5517242752999999,0.5521848099831768
Missouri,0.07280070234221898,0.11711202284844718,0.08849791055130231,0.6279398910230547,0.5819852855900621,0.6014031702151758
Montana,0.05701150226877321,0.08806432021600001,0.06609252500802469,0.6258742029259255,0.5778468435999999,0.6145317077160497
Nebraska,0.042422695035160676,0.08108177706818186,0.05302649111978019,0.6901923022744367,0.6628826925000001,0.6824599110622704
Nevada,0.0965109888530973,0.13993329860655732,0.12062842991818175,0.6350741072371131,0.5772016829508197,0.6321879590909092
New Hampshire,0.05116531763221475,0.06623644581481482,0.059763280648344366,0.6793537267449663,0.6312476692592595,0.6529235448344368
New Jersey,0.08370560507473673,0.11859618740828404,0.11317206411270986,0.6555165325732135,0.6280869859171597,0.6375590110766469
New Mexico,0.08505996726827314,0.11189426819206347,0.09722520135710054,0.5861170840702806,0.570340932698413,0.577342418579881
New York,0.07933826595928208,0.1146750964525292,0.09707363001467016,0.6293820279573403,0.5919117150719845,0.608938592617387
North Carolina,0.08606569130167821,0.12899641924206348,0.10141922631329549,0.6203575283198169,0.5754402796428575,0.6016510236874095
North Dakota,0.02897275193170735,0.05269069706000001,0.039372912895238095,0.6839382493658535,0.65247609,0.6624079135714288
Ohio,0.08809272920037409,0.14790514888750012,0.11803633123517605,0.6255862623114588,0.58290027153125,0.6030888466415553
Oklahoma,0.06489829202401913,0.09248332171794874,0.07686936439662057,0.6110492604803826,0.5517929682905984,0.5898524998310287
Oregon,0.08221344353818173,0.10233951923255814,0.09217990795711506,0.6166848234181818,0.6002863508139534,0.5999258826900582
Pennsylvania,0.07790043676294571,0.13461095502666667,0.10117254385906047,0.6239331613814482,0.5650897629333341,0.5967525968009759
Rhode Island,0.07804810305708335,0.10643297036,0.10493133882474223,0.6557309225416665,0.6190303159999999,0.640269455670103
South Carolina,0.08909144740982537,0.13011669685185184,0.10366301240863675,0.601392004986264,0.5628435411851853,0.5886435904520919
South Dakota,0.0465928070677477,0.07821168323359999,0.06613601343875002,0.6809876468018018,0.6586786068000001,0.6599666742857141
Tennessee,0.08180982615334229,0.1175276979488638,0.09636942321805253,0.6049004504679699,0.550253548806818,0.5803775808012169
Texas,0.06715196485680663,0.10800132469792995,0.08060748319833921,0.638253698617275,0.5782121889944266,0.6167506559452249
Utah,0.05155470483595889,0.06703597946739132,0.061995571761484077,0.6742342967350428,0.6515923239130436,0.6657678536749119
Vermont,0.05007331282459014,0.06957782883999998,0.058755981730337074,0.6603993696721313,0.6255039640000001,0.6355040396629211
Virginia,0.06200001797262398,0.08661267461910375,0.07621744084504206,0.6581388122288456,0.630368959198113,0.6296509260598686
Washington,0.07017132552643598,0.09591059926618707,0.08241885936025643,0.6353238263294121,0.5791867985611513,0.6163628942948719
West Virginia,0.08028771681880177,0.09322700620000002,0.08702034434103907,0.5316916972520659,0.528231017090909,0.5170398828311685
Wisconsin,0.0625958515831057,0.10193539641333335,0.08063621040190742,0.6612429884877872,0.6319705410833331,0.6404004959332423
Wyoming,0.050515506790076346,0.06202405484000001,0.05824918512678571,0.6687745125954201,0.6385476023999999,0.650663744642857
